Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     NDJ     FMA     MJJ     ASO
        223.3   131.4   185.1   331.8   245.0
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   12.95  -93.49   13.35   -9.65    9.38
 1961   -9.63  -20.50  -26.89   40.36  -31.49
 1962  -30.68   -8.19  -74.39    5.44  -45.57
 1963   24.12    1.62   34.25    8.76   51.85
 1964  -18.06  -15.19   13.27  -77.66    7.33
 1965    1.75   20.08    0.33   -7.67   -5.73
 1966   13.51  -36.66  -10.08   51.12   49.64
 1967   44.27   24.95   28.28   72.76   51.09
 1968   -7.05    7.09  -16.11  -33.73   14.56
 1969  -16.69    0.15  -36.09  -48.65   17.84
 1970   11.07   -1.74   18.37   45.32  -17.68
 1971   -7.61   -9.30    1.88  -13.51   -9.51
 1972  -12.68  -34.54   31.74    2.12  -50.03
 1973   38.06   17.62   30.44   21.96   82.21
 1974   27.77   -0.27  -12.17   77.13   46.38
 1975   10.21   64.71  -22.37    7.23   -8.73
 1976  -51.58  -27.43  -68.88  -97.58  -12.41
 1977  -12.66  -14.68  -42.63   17.30  -10.64
 1978  -12.58   23.78    4.14  -50.58  -27.66
 1979   31.93  -22.03   -9.43   64.60   94.56
 1980  -18.89   -1.44    7.48  -27.32  -54.28
 1981   -6.11   -8.66    4.81  -12.05   -8.54
 1982   12.02   22.65  -15.80  -19.18   60.41
 1983  -16.51   -0.52    1.20  -15.86  -50.88
 1984  -30.03   23.27  -12.66 -108.97  -21.78
 1985  -13.37  -43.22  -24.46   36.95  -22.76
 1986   -8.89  -21.95    7.43    6.60  -27.65
 1987    5.20  -12.32   11.59   30.38   -8.83
 1988  -26.64  -20.69   -4.04  -35.51  -46.32
 1989   22.51   20.16   27.17   39.35    3.34
 1990  -21.15   -1.91  -42.52   -6.41  -33.76
 1991    4.64  -27.97  -16.36   33.37   29.53
 1992    5.69   14.65   -6.35  -24.33   38.79
 1993   25.00   -0.90   21.74   20.32   58.84
 1994  -31.16  -34.10   -2.63  -55.88  -32.03
 1995   35.05   65.55   35.68   44.39   -5.40
 1996   24.71   22.32   -3.46   53.87   26.10
 1997    7.43  -13.65   49.71  -13.09    6.74
 1998   25.88   28.31    8.41   12.42   54.37
 1999  -17.28   -5.69   21.99  -33.03  -52.39
 2000   49.03   42.29   32.36   63.55   57.91
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN    2.68    5.27  -24.29
 2002   26.62   10.65   19.61   23.63   52.60
 2003    9.50   10.97   18.33   24.18  -15.47
 2004  -22.71    8.99   22.81  -75.76  -46.87
 2005  -22.29    3.21   35.27  -81.84  -45.80
 2006   -0.06  -16.83   -7.21    3.76   20.04
 2007   35.31   -2.06   71.31   -1.21   73.21
 2008    7.63  -25.74   10.11   -3.31   49.48
 2009  -13.91  -11.75  -41.82  -31.23   29.15
 2010   25.82    2.41   12.63   36.01   52.24
 2011    2.92   15.98   -1.91   -1.30   -1.07
 2012  -10.04   -9.40   -6.06   19.74  -44.43
 2013   17.04    8.42   23.45   70.82  -34.54
 2014    5.35    5.13   10.10   -2.02    8.19
 2015    1.83   -0.05   21.18    3.85  -17.66
 2016   -6.24  -23.15   -3.35  -36.79   38.35
 2017   22.18   -5.62   -9.67   41.15   62.86
 2018   -3.38  -26.13   -0.48   -1.35   14.43
 2019   28.30   -2.74   49.85   27.99   38.11
 2020   30.45   -6.79    0.21    5.73  122.66
 2021   15.31    6.71   53.04    6.28   -4.80
 2022  -48.13  -10.03  -99.13  -36.95  -46.41
 2023   34.77   38.98   15.21   51.26   33.61
 2024   -2.27  -35.31   16.95  -35.35   44.62
 2025  -17.12   -9.04   10.99  -24.89  -45.55
 2026   26.03    7.76   12.18   44.99   39.18
 2027  -17.52  -34.60  -39.06   -2.13    5.71
 2028   53.41   36.05   49.09   32.90   95.58
 2029   23.67   -6.02   27.57   10.99   62.13
 2030   27.93   -9.16   28.43   37.45   55.03
 2031  -15.94   -2.44  -21.05  -47.61    7.35
 2032    6.38   -9.49   12.43   -6.21   28.80
 2033  -11.31  -34.70   -9.13   -3.84    2.44
 2034   -2.73   -8.88    4.31   -5.83   -0.51
 2035  -12.57    2.37  -52.60  -22.50   22.46
 2036   14.07   20.73  -12.10   -4.09   51.73
 2037   22.67   -9.98   17.55   34.16   48.94
 2038  -15.53    3.21   10.46  -49.64  -26.16
 2039   -5.12   10.21  -33.55  -33.88   36.73
 2040    7.95   13.05  -15.92   -3.10   37.78
 2041   10.35   -5.76  -57.68   42.22   62.63
 2042   12.82   -6.84  -48.75   71.11   35.77
 2043   -8.81  -10.20    6.93  -11.38  -20.59
 2044    4.19  -17.81  -16.89    3.63   47.81
 2045  -38.58   27.03  -48.46  -62.98  -69.92
 2046  -43.06    8.29  -17.74  -93.54  -69.25
 2047   32.63   17.62  -40.83   92.63   61.10
