Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        217.1   141.0   243.1   204.8   258.0
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960    3.10   33.11  -39.90    2.97   26.27
 1961   17.30   31.53   -4.01   19.50   26.19
 1962   23.30   18.91   11.52   32.17   26.18
 1963    4.61   31.85   -7.34  -22.30   34.28
 1964   -6.69   14.40   15.68  -34.47   -6.08
 1965  -20.44   -0.27    0.41  -36.16  -33.76
 1966   27.99   23.52   15.36   16.27   59.22
 1967    1.31   40.09    8.63    8.04  -40.86
 1968    2.50  -58.51  -21.63   41.19   15.72
 1969  -42.77  -26.70  -17.98  -65.15  -48.44
 1970  -18.69   14.74   -4.30  -58.78   -1.91
 1971    3.62   18.20  -23.04   17.28    2.33
 1972  -20.10    5.62  -25.33  -30.61  -17.99
 1973  -10.22   -4.97   35.75  -26.39  -38.15
 1974    0.40   -7.28  -22.32   21.41    0.24
 1975    4.01   -9.14   11.47   16.73  -11.67
 1976   27.18    2.17   15.08   47.32   29.09
 1977   30.93   -7.73   10.12   44.72   59.11
 1978   26.77   28.62   15.41   26.45   37.34
 1979   24.91   54.01   -7.61   30.45   30.66
 1980  -13.12  -22.15   14.48   -8.85  -40.42
 1981   21.56    5.56   24.04   30.65   17.62
 1982   17.05   12.12   27.58   -5.73   40.19
 1983  -32.09   17.85  -10.78  -38.21  -78.54
 1984    1.87  -37.89   -9.48   32.27   -0.82
 1985   30.13   29.38   31.00   28.21   32.34
 1986   19.58   53.00   35.19    2.23    4.82
 1987   11.72   25.43   -6.91   16.08   15.39
 1988   -5.87   21.19    4.03  -28.58   -3.53
 1989   -0.42  -30.42    4.95   24.32  -18.78
 1990    5.58  -29.59  -18.12   30.84   19.03
 1991  -20.31  -14.14  -28.77  -14.29  -24.00
 1992  -43.20  -22.46  -16.76  -65.12  -54.26
 1993  -34.93  -22.29  -24.14  -54.22  -28.40
 1994    1.16  -30.74  -11.58   24.22    4.41
 1995    0.64  -31.71   15.23   -3.67   13.36
 1996  -36.56  -35.04  -26.56  -45.54  -35.60
 1997   -5.66   45.93   16.87  -35.34  -23.00
 1998   14.64   25.22  -11.96   15.53   33.03
 1999   -0.57  -53.47  -13.54    6.61   38.09
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.80   -3.99  -49.12    9.45   42.39
 2001  -11.64   55.54   16.76  -38.60  -48.86
 2002  -23.67  -17.02  -22.39  -15.27  -40.57
 2003  -45.66   -5.75  -40.90  -61.76  -55.55
 2004    5.55  -16.17   29.40    4.18   -1.99
 2005  -13.81  -26.87   -4.40  -30.14    7.27
 2006  -23.48   21.90  -14.43  -56.62  -18.58
 2007   -5.12    4.15  -21.91   33.25  -45.67
 2008  -44.01  -37.81  -13.69  -51.97  -67.86
 2009  -57.86  -52.47  -19.39  -68.41  -85.85
 2010  -36.81  -11.32   -7.17  -58.99  -53.87
 2011   14.29   27.13    2.48  -18.03   60.63
 2012   40.80   29.70   53.47   38.57   38.51
 2013  -12.26   32.08  -34.17   -2.39  -33.08
 2014   10.06  -14.67   29.39   13.12    3.14
 2015    7.07    1.50  -25.97   -0.47   53.86
 2016   20.28   17.04   14.12   10.04   42.27
 2017    8.61   15.95   16.35   -5.43   14.68
 2018   -2.37   -1.41   15.77  -10.28  -10.60
 2019  -10.65  -14.68    0.20   -9.65  -20.15
 2020   24.50   43.18   10.74    2.15   55.60
 2021   10.32   50.75   35.82  -16.92   -5.79
 2022   16.10   29.73    5.57   15.63   18.17
 2023   -4.56  -17.42  -16.63    7.62   -0.15
 2024    3.77   -7.30  -25.35   -0.99   46.62
 2025   24.03   -2.37    0.64   28.70   58.80
 2026   14.94    9.38   -6.80   42.54    3.59
 2027   -2.74    9.32   -9.34  -10.92    6.71
 2028  -24.76  -29.58   21.12  -49.64  -34.24
 2029  -29.44  -30.96   16.88  -55.52  -39.98
 2030  -54.72  -62.59  -62.08  -54.41  -42.53
 2031  -33.98   14.11  -33.82  -52.39  -41.65
 2032  -45.53    5.36  -18.77  -91.41  -45.05
