Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
       Annual     NDJ     FMA     MJJ     ASO
        180.2   137.8   175.5   153.3   254.3
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     NDJ     FMA     MJJ     ASO
1960     7.39  -15.61    4.61   18.19   12.52
1961   -12.77  -17.62  -18.35   -7.71  -17.29
1962   -58.47  -51.72  -75.75  -36.90  -79.39
1963   -39.86  -20.86  -37.36  -17.80  -93.32
1964   -46.55  -78.98  -11.45  -27.34  -78.31
1965   -23.43  -24.34  -23.77  -42.50  -13.00
1966   -10.24    7.61  -19.45  -44.32    5.32
1967   -13.80  -37.81    1.65  -20.50   -8.39
1968   -15.60  -58.68   45.52   -5.96  -53.15
1969   -44.29  -75.58   -4.45   -3.01 -103.99
1970    -9.25  -46.94  -43.55    8.93   34.70
1971    29.46    2.57   33.03   31.80   40.56
1972    -3.17  -11.33  -29.56   17.46    0.88
1973    -0.24    7.32   28.58   22.28  -69.02
1974    11.52  -18.76   48.24   -4.83   11.56
1975    -7.02   16.91  -34.74   -4.75  -15.36
1976   -12.74   35.37  -16.24  -54.05  -25.91
1977   -19.36   -5.81    8.96  -87.84   -2.62
1978    10.78   18.73   16.14  -26.84   25.21
1979      NaN    1.91  -10.86   97.84     NaN
1980      NaN     NaN     NaN     NaN     NaN
1981      NaN     NaN     NaN     NaN     NaN
1982      NaN     NaN     NaN     NaN     NaN
1983      NaN     NaN     NaN     NaN     NaN
1984      NaN     NaN     NaN     NaN     NaN
1985      NaN     NaN     NaN     NaN     NaN
1986      NaN     NaN     NaN     NaN     NaN
1987      NaN     NaN     NaN     NaN     NaN
1988      NaN     NaN     NaN     NaN     NaN
1989      NaN     NaN     NaN     NaN     NaN
1990      NaN     NaN     NaN     NaN     NaN
1991      NaN     NaN     NaN     NaN     NaN
1992      NaN     NaN     NaN     NaN     NaN
1993      NaN     NaN     NaN     NaN     NaN
1994      NaN     NaN     NaN     NaN     NaN
1995      NaN     NaN     NaN     NaN     NaN
1996      NaN     NaN     NaN     NaN     NaN
1997      NaN     NaN     NaN     NaN     NaN
1998      NaN     NaN     NaN     NaN     NaN
1999      NaN     NaN     NaN     NaN     NaN
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
