Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        148.6     5.5   145.9   262.0    95.5
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -1.90   -4.50   14.35   -7.21   -9.32
 1961    1.71   -3.44  -21.13   32.60  -13.18
 1962   -1.58   -1.60   -6.73   15.07  -18.63
 1963   -3.40   15.81    3.20    1.96  -29.95
 1964    1.50   -0.05   -3.22   -0.14    9.45
 1965   -5.48   -3.67   32.48  -30.71  -11.02
 1966    4.77    0.94  -39.37   25.97   23.20
 1967   11.41   -0.41   -3.26   56.27  -25.86
 1968   -7.79    4.70   16.62  -28.91  -12.36
 1969   -6.07   -3.67  -10.45   -2.79   -7.65
 1970    8.49   -2.40  -24.50   46.82   -2.36
 1971    8.98    6.13   16.17   16.34   -6.11
 1972    1.26    9.64   -3.89   -4.30    8.22
 1973    8.30   -4.94   56.30  -15.77    1.20
 1974  -18.38   -0.33  -24.50  -29.19   -9.87
 1975    6.62    2.26  -35.30   33.76   15.26
 1976    7.73   11.18   46.18  -10.34   -8.93
 1977    2.02    0.57   23.36   -2.23  -12.70
 1978  -12.90    0.61  -32.46    6.80  -28.61
 1979   -0.14   -4.50    2.35    1.06   -1.32
 1980    0.58    5.04   26.80   -4.35  -22.06
 1981    3.66   -4.83   30.21   -6.11   -4.21
 1982    5.04   -0.90   22.24    5.59   -8.93
 1983   -7.20   -1.19  -18.89  -33.33   35.33
 1984   12.88   -1.27    3.52   35.15    1.98
 1985    8.12    6.98    7.38   -7.94   31.02
 1986    3.13   -1.55   13.87   -4.64    5.88
 1987   -2.04    0.91  -47.26   10.20   24.90
 1988   -0.36   -4.30   -5.10   -5.86   14.33
 1989  -15.30   -4.57    6.93  -39.68  -12.19
 1990   -6.59    1.24    9.54  -36.94   12.53
 1991  -11.87   -1.19  -19.14    1.37  -29.36
 1992   -5.49   -4.80    8.35  -19.61   -0.98
 1993    1.37    3.23    4.11   -8.60   10.68
 1994    4.35   -3.73   22.49   -6.38    5.88
 1995   -3.12   -5.25  -27.35   11.04    3.65
 1996  -17.36    5.12   -8.27  -44.44   -5.34
 1997   -9.33    0.33  -49.93    2.95    8.46
 1998   10.59   -5.00   -9.83   65.33  -31.59
 1999   16.98   -2.51    6.63   43.28    5.24
 2000   15.34    7.53   11.46   39.92   -8.36
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001  -16.15   -4.32  -26.97   -0.40  -34.20
 2002    2.96   12.74    9.18   18.18  -30.07
 2003    2.36   10.48   -0.42    2.89   -0.97
 2004  -23.94   -3.04  -40.20  -20.30  -26.49
 2005   -6.69    5.54  -11.12   -8.33   -8.23
 2006    0.48   -3.76  -27.81   15.04   12.20
 2007   10.29    3.23   10.64   24.62   -4.46
 2008  -13.95   -5.26   -0.61  -15.80  -30.60
 2009  -10.89   11.61   29.07  -59.41   -1.15
 2010   -1.33   -4.74  -46.45   39.51   -8.41
 2011   -3.82   -2.55  -40.73   29.68  -12.44
 2012    3.73   -1.09   14.40    2.68   -2.30
 2013   12.82   -4.09   21.30   37.88  -17.79
 2014   -9.53   -1.93    8.10  -44.50   14.40
 2015    3.81   -1.87   11.27    7.66   -5.01
 2016   12.29    0.15   -1.58   35.05    3.91
 2017   -1.88    1.17   -6.85    3.58   -6.22
 2018    3.46    2.58   -0.77   25.23  -20.78
 2019    5.50   -3.01  -24.83   52.63  -21.35
 2020  -18.43   -2.84  -38.55  -17.58   -9.81
 2021   12.14    6.21    5.03   35.14   -7.46
 2022   23.12   -0.85   13.48   38.51   28.20
 2023    8.54   -4.36  -21.72   29.88   18.95
 2024    7.92   -1.99  -18.86   25.15   18.32
 2025   24.90   -4.82    9.87   63.06    8.88
 2026  -21.10   -0.13   -7.22  -59.74    2.55
 2027    2.53   -2.38  -22.14   20.85    6.06
 2028   23.69   -1.74    0.08   60.88   14.66
 2029  -11.08   -0.77  -38.02   12.16  -22.01
 2030   -8.68   -3.11  -39.25   23.69  -24.97
 2031    7.11    1.69   -0.41   19.24    2.08
 2032    3.77    6.04  -24.14   12.02   19.15
