Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
 YEARAnnualJFMAMJJASOND
20th Century Model Run
 1960  -25.70  -18.05  -36.14  -53.79  -29.68
 1961  -18.53  -21.24  -25.46  -58.64  -28.30
 1962  -28.47  -13.84  -32.29  -71.72  -35.26
 1963  -36.39  -12.57  -49.64  -81.89  -30.80
 1964  -29.28  -15.30  -22.05  -78.90  -24.98
 1965  -12.57   -8.72  -51.99  -30.71  -20.99
 1966   -7.07  -26.04  -39.37  -16.15  -20.19
 1967  -32.52  -21.31  -29.27  -64.63  -28.28
 1968  -24.15  -35.10  -39.39  -56.55  -17.89
 1969  -17.15  -24.73  -47.12  -43.37  -48.12
 1970  -26.18  -21.69  -38.20  -39.76  -27.51
 1971  -25.48  -17.84  -34.55 -112.04  -23.88
 1972  -20.38  -17.25  -32.55  -47.78  -13.73
 1973  -33.63   -9.02  -40.16  -69.35  -37.63
 1974  -29.64  -21.20  -54.27  -46.55  -26.89
 1975  -19.17  -16.52  -35.30  -66.18  -45.59
 1976  -33.44  -23.15  -55.58  -76.10  -23.33
 1977  -17.82  -26.31  -22.20  -37.50  -12.70
 1978  -29.65  -28.92  -53.40  -37.21  -44.78
 1979  -28.66  -15.86  -50.65  -44.84  -27.52
 1980  -25.13  -27.81  -33.66 -109.61  -32.17
 1981   -9.18  -18.22  -27.89  -36.12  -18.37
 1982  -30.10  -14.59  -42.11  -62.90  -36.65
 1983  -22.80  -21.35  -33.29  -52.52  -35.12
 1984   -6.54  -20.45  -20.74   -6.20  -30.42
 1985  -21.19  -12.67  -41.01  -39.08  -30.36
 1986  -13.96  -18.37  -35.98  -22.74  -17.51
 1987  -22.34  -11.83  -52.52  -63.02  -32.63
 1988  -25.87  -20.21  -21.97  -53.08  -22.68
 1989  -16.15  -21.61  -21.52  -39.68  -24.56
 1990   -6.59  -10.88  -12.68  -36.94  -28.05
 1991  -19.37  -25.87  -26.24  -43.32  -29.36
 1992  -11.19  -14.32  -25.66  -31.57  -42.59
 1993  -13.72  -15.07  -18.15  -54.72  -12.10
 1994  -21.69  -20.80  -37.60  -51.45  -19.43
 1995  -23.54  -19.57  -27.35  -51.73  -18.02
 1996  -23.07  -16.33  -57.07  -44.44  -23.11
 1997  -38.49  -13.04  -58.63 -104.53  -26.12
 1998  -22.12  -17.56  -57.54  -43.67  -31.59
 1999  -41.87  -23.59  -17.15  -97.57  -33.65
 2000  -14.07  -17.45  -25.83  -44.72  -16.24
Projections under SRES A2 scenario
 2000  -23.74   -1.97   -7.95  -64.62  -10.65
 2001  -18.17  -19.42  -42.13  -27.35  -35.45
 2002   -4.23  -21.29  -36.28  -15.51  -30.07
 2003  -22.81  -13.67  -52.53  -21.97  -21.75
 2004  -23.94  -19.90  -40.20  -46.25  -34.04
 2005  -17.73  -16.90  -22.45  -52.16  -23.80
 2006  -29.76  -19.86  -48.92  -66.43  -18.79
 2007  -11.43  -18.47  -39.77  -33.40  -14.27
 2008  -15.33  -29.56  -32.41  -34.21  -30.60
 2009  -20.79  -12.31  -14.77  -59.41  -49.58
 2010  -17.32  -16.06  -46.45  -30.70  -35.07
 2011  -28.35  -20.44  -40.73  -69.90  -29.26
 2012  -33.18  -12.71  -45.30  -62.05  -26.36
 2013  -12.76  -18.50  -32.50  -43.18  -17.79
 2014   -9.53  -13.37  -48.80  -44.50  -20.07
 2015  -29.59  -12.19  -32.70  -68.19  -22.92
 2016  -15.30  -30.74  -33.44  -38.08  -20.78
 2017  -25.13  -17.45  -61.22  -87.19  -16.38
 2018   -9.94  -23.51  -10.91  -28.40  -20.78
 2019  -10.47  -20.34  -24.83  -35.24  -28.59
 2020  -24.42  -19.08  -38.55  -76.74  -31.62
 2021  -10.75  -19.26  -20.61  -57.41  -12.00
 2022  -20.74  -17.74  -29.96  -46.49  -24.88
 2023   -8.17   -9.43  -29.02  -41.27  -39.30
 2024  -20.04  -26.18  -29.37  -32.00  -24.09
 2025  -15.46  -28.24  -50.77  -31.35  -17.97
 2026  -21.10  -26.38  -19.61  -59.74  -14.03
 2027  -18.15  -21.63  -46.56  -48.32   -9.84
 2028  -11.45  -22.60   -9.55  -27.52   -8.29
 2029  -32.42  -11.21  -51.59  -54.85  -29.07
 2030  -17.94  -17.17  -39.25  -45.34  -24.97
 2031  -12.38  -22.62  -50.22  -34.42  -25.33
 2032  -16.94  -27.00  -45.83  -35.88  -14.77
 2033  -24.41  -29.92  -84.96  -53.38  -24.20
 2034  -37.74  -23.89  -46.76  -30.10  -59.45
 2035  -24.64  -13.03  -33.39  -49.41  -48.31
 2036  -18.17  -24.78  -43.46  -38.25  -22.64
 2037  -27.43  -35.88  -50.01  -69.21  -31.13
 2038  -18.43  -17.34  -71.29  -42.49  -32.56
 2039  -18.68  -24.78  -69.76  -65.77  -22.89
 2040  -32.93  -16.15  -60.35  -67.50  -20.07
 2041  -28.56  -28.53  -82.37  -37.05  -39.80
 2042  -37.53  -17.82  -95.37  -69.57  -24.46
 2043  -18.01  -21.61  -37.67  -32.81  -32.26
 2044  -22.01  -19.24  -39.26  -39.44  -29.95
 2045  -10.34  -25.82  -40.57  -25.64  -28.31
 2046  -23.51  -32.76  -25.57  -59.40  -21.81
