Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     DJF     MAM     JJA     SON
        106.3   284.5   112.8    11.1    16.7
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -5.08    4.56   19.22   10.01    8.53
 1961  -14.96  -13.95  -37.59   -2.27   -6.01
 1962   -2.18   -9.86   -3.53    0.32    4.35
 1963   -9.99   -6.61  -25.39   -2.72   -5.25
 1964    6.65   -6.41   45.84   -0.11  -12.72
 1965  -31.94 -136.07    5.37   -2.04    4.95
 1966    4.08   35.90  -20.46   -4.63    5.50
 1967  -28.60  -31.38  -67.15   -4.33  -11.56
 1968    4.80  -13.56   41.71    2.85  -11.78
 1969    1.53   10.77  -15.29    9.58    1.08
 1970   12.99   -5.21   56.94    8.18   -7.96
 1971  -15.39  -53.52    0.08   -0.31   -7.82
 1972   12.81  -64.94   86.62   20.32    9.24
 1973    2.84   -0.31   -2.01   14.14   -0.46
 1974    3.35    3.73   23.06   -2.50  -10.91
 1975  -15.61  -19.36  -74.61   -9.00   40.52
 1976    9.14   29.09   15.95   -1.88   -6.61
 1977   -6.69   23.71  -42.52   -7.00   -0.94
 1978    8.40  -16.56   54.37    2.55   -6.75
 1979  -18.15  -12.54  -37.07   -7.98  -15.02
 1980    1.57   -3.45   17.56   -0.80   -7.04
 1981   13.20    3.97   26.88   -3.29   25.24
 1982   12.23   49.72   -3.17    1.81    0.55
 1983  -11.32  -57.39    8.76   10.91   -7.54
 1984    4.64  -11.63   17.37    2.62   10.20
 1985    6.54   10.22   31.81   -8.30   -7.55
 1986  -24.55  -45.39  -45.85   -5.50   -1.46
 1987    0.35   52.31  -46.34   -4.28   -0.28
 1988   13.44   49.50   11.05    2.44   -9.25
 1989   16.06   29.11    8.03    1.38   25.72
 1990   -3.19  -23.91   12.80   -3.94    2.30
 1991    1.86   33.34  -42.00    6.58    9.54
 1992   10.01   17.47   25.48   -2.09   -0.80
 1993    0.70   24.58  -28.54    4.97    1.79
 1994    3.88   25.57   -7.85   -4.14    1.92
 1995  -10.65   39.82  -61.00   -7.21  -14.23
 1996  -16.72  -29.91  -38.58   -0.02    1.62
 1997    2.94  -51.61   68.13    2.48   -7.25
 1998   -2.78    5.29   -1.26   -6.58   -8.55
 1999  -11.89   -1.68  -34.10   -3.57   -8.22
 2000   -7.27  -60.81   28.86    4.75   -1.89
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   -6.24    8.02  -14.28
 2002   -7.95   -6.88  -17.25    4.94  -12.62
 2003   -0.17  -18.91    7.75    5.77    4.69
 2004  -16.96  -63.41   -2.12   -2.08   -0.23
 2005   13.79   44.08   16.74   -6.44    0.77
 2006  -13.67   -9.01  -33.35   -5.19   -7.12
 2007    3.80   26.50  -13.71    4.17   -1.76
 2008  -49.87 -157.88  -24.51   -4.35  -12.73
 2009   -7.58    3.82  -51.95   -5.25   23.06
 2010  -24.01  -50.13  -28.20   -5.20  -12.50
 2011  -13.25  -39.20  -28.64   -1.30   16.15
 2012   -1.67  -37.22   30.04    9.98   -9.48
 2013    7.53   38.74  -22.99   22.18   -7.80
 2014  -20.07  -50.46  -23.21   -2.53   -4.09
 2015   14.39   72.08   -7.13   -7.25   -0.12
 2016    2.45   -0.20   12.56   11.39  -13.93
 2017   13.62   70.39  -15.69   13.18  -13.41
 2018    2.01  -20.31   25.99   16.65  -14.28
 2019  -32.95 -115.97  -47.60   -1.02   32.80
 2020   -6.92   15.76  -30.27   -8.57   -4.59
 2021    2.68  -16.24    9.39   -2.52   20.08
 2022   -0.79  -24.21   26.42    6.50  -11.86
 2023   -1.80   13.22   -1.32   -4.73  -14.38
 2024    2.56  -32.85   41.96    8.06   -6.92
 2025   -5.66   -7.21  -10.57   -8.17    3.32
 2026  -19.07  -25.72  -40.53   -7.59   -2.45
 2027   38.11   58.81   84.35    7.27    2.00
 2028    8.23   51.57  -20.05   -5.26    6.65
 2029    1.39    7.23    1.58   -0.19   -3.07
 2030  -12.02  -24.37  -43.48   -5.64   25.43
 2031    6.98    0.35    1.25   34.91   -8.60
 2032    1.25  -43.25   28.62   -1.43   21.09
 2033  -14.01    3.38  -49.83   -5.16   -4.43
 2034  -33.21  -47.17  -88.06    0.93    1.45
 2035   -8.90   29.72  -53.55   -5.87   -5.88
 2036    7.13   19.32   27.68   -6.23  -12.23
 2037  -10.46  -25.83  -27.49   -1.57   13.04
 2038   26.37   37.67   63.43   12.96   -8.57
 2039   19.90   67.14    2.34   -3.21   13.35
 2040    9.96   58.12  -35.04   -6.98   23.74
 2041  -23.59  -48.10  -44.06   13.00  -15.21
 2042   -9.10   -9.20  -15.53   -8.26   -3.41
 2043   13.81   66.16   -1.89   -2.33   -6.70
 2044   -7.14  -70.08   35.20    7.56   -1.23
 2045  -27.63  -48.16  -53.03   -3.99   -5.35
 2046   27.12   85.80   13.83   -5.36   14.24
 2047   -4.24  -16.02    1.07   -7.97    5.95
 2048  -24.88  -42.89  -47.75   -1.56   -7.30
 2049  -11.03  -59.29   22.94   -1.26   -6.54
 2050  -17.61  -38.19  -32.25    1.73   -1.73
