Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         30.0     1.2    24.4    88.2     6.2
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual     JFM     AMJ     JAS     OND
 1960    9.88   16.41    8.54   16.33  -44.68
 1961   34.39   -7.68   22.89   42.03   10.32
 1962   34.13  232.99    7.66   41.53   59.50
 1963   13.22    5.40   35.02    8.04   86.63
 1964   32.57   31.67   17.80   39.20   12.36
 1965   -2.89   11.19   20.40   -0.04  -11.10
 1966   23.56   -7.19   74.58   26.96   14.91
 1967   14.71   36.81   29.37   22.64   24.33
 1968    8.49  104.96   53.75   -0.13   -3.69
 1969    7.02  339.98   35.26    0.03   55.30
 1970    6.38   -8.39   -5.28   16.14   17.32
 1971   13.39   23.64  -10.09   13.60   73.78
 1972  -10.52   28.05   15.08  -13.33   53.72
 1973   -0.68  -17.33    8.38    0.82   11.35
 1974    8.78    3.05   -6.48   15.97   21.35
 1975   11.35   82.23   23.41   21.20   -5.64
 1976   -4.82   95.18   24.95   -9.03  106.24
 1977    4.42   51.75    1.53   10.45  -17.36
 1978   12.86   96.20   18.95   15.44    7.35
 1979   24.58   18.61   27.35   25.48   32.90
 1980   13.42   12.75   39.62    8.70  -12.38
 1981   20.83   -7.13   20.94   20.74   33.63
 1982   -2.89   22.97   15.83   -6.26   -5.75
 1983   -6.58    5.51   -4.60   -0.02  -62.83
 1984  -17.54   29.90   -1.93  -23.34   -6.72
 1985  -13.70  310.08  -11.93  -14.00  -44.15
 1986  -11.25   -1.09  -38.80   -3.90   -8.40
 1987  -20.75  -39.63    2.23  -26.33  -30.32
 1988   24.52   -7.38    8.67   34.36  -49.62
 1989    0.90  -29.17    8.13    0.43   27.77
 1990  -21.95  -13.91  -16.48  -22.85  -13.94
 1991    5.07  -18.01   60.64   -5.78   -9.16
 1992    1.53   73.14  -16.14    9.13    5.26
 1993  -13.44  -15.81   25.45  -21.90   -4.38
 1994   34.21   44.20    6.75   46.38   54.85
 1995   12.53   50.64   31.93    7.47   21.82
 1996    8.48   53.18   32.03    0.76   30.10
 1997   13.35   22.75   21.08    9.24   59.83
 1998   15.66  -13.31   -1.81   20.86  112.02
 1999   24.79   84.81  -28.94   26.80  213.15
 2000   -0.60  246.57   29.70   -4.30  -35.20
 2001   21.69 1121.89    3.23   13.58  109.72
 2002  -11.14  -35.38  -34.18  -16.17  151.23
 2003   31.95   96.11   47.42   23.08   96.68
 2004    5.66    8.19   22.19    1.51    3.32
 2005   17.78  -15.07   77.37    6.57  -41.21
 2006   32.70 1262.24   28.90   22.14   89.32
