Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
        144.8    26.4   185.3   279.5    88.0
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   18.04   -2.96   42.55   26.34    6.24
 1961    5.62    3.78   14.02    1.08    3.58
 1962    0.41    3.86  -38.20    7.17   28.80
 1963   15.12    5.72  -14.78   73.73   -4.20
 1964  -20.47   -1.88  -12.40  -40.95  -26.66
 1965   19.23    1.73   37.98   11.38   25.83
 1966    2.70   -2.24   -1.24    8.74    5.53
 1967    7.07    5.45    8.22   34.94  -20.33
 1968   -0.54   -3.27   32.56   -4.20  -27.23
 1969  -17.02   -0.58  -27.52    1.54  -41.51
 1970   22.55  -14.84   41.83   34.31   28.87
 1971  -12.08   -8.95  -22.46  -11.00   -5.91
 1972   16.05    0.01    1.51   50.89   11.79
 1973   -4.61    7.26  -38.71   -3.76   16.77
 1974  -10.19   11.01  -62.47   -7.95   18.67
 1975   -0.80    8.13    6.77    7.95  -26.05
 1976   24.30    5.91   52.79   42.46   -3.96
 1977  -18.15   17.04  -51.06   -7.56  -31.01
 1978   -9.86    7.16    5.70  -21.92  -30.38
 1979  -15.47    9.66  -52.38   -5.33  -13.81
 1980   -7.62    0.76  -22.75  -16.21    7.73
 1981    8.61  -10.97   18.91   16.54    9.95
 1982  -14.71   -2.55   16.86  -51.22  -21.92
 1983   19.51  -14.93   25.17   27.21   40.60
 1984  -17.30   -6.28  -37.61  -11.82  -13.48
 1985  -15.07  -16.79  -22.87   17.56  -38.20
 1986   16.06    3.09   34.84   30.81   -4.50
 1987   -2.88   -1.86   22.50  -12.92  -19.23
 1988   18.07   16.10   40.80   13.98    1.40
 1989    0.48   -4.70  -38.69   45.23    0.08
 1990   11.12    3.51    5.59   17.22   18.17
 1991    1.54   14.20   33.06  -74.04   32.96
 1992   -9.45   -7.53   12.57  -38.14   -4.71
 1993   10.81    8.34  -10.74   10.26   35.38
 1994   -6.50  -13.65   14.71   -9.28  -17.76
 1995    1.88  -12.10   18.49   15.17  -14.02
 1996   12.39    2.27    6.79   58.98  -18.48
 1997  -11.82   11.23  -60.14   -6.40    8.03
 1998  -12.09   -8.75   16.32  -75.37   19.42
 1999    5.20   -1.76   44.66  -35.68   13.58
 2000   33.87    3.67   34.81   44.95   52.06
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   38.45    7.80   55.87   95.75   -5.62
 2002   33.71    4.69   67.44   43.24   19.49
 2003   12.64   -5.67    7.65   55.86   -7.27
 2004   15.52   11.97    2.28   37.66   10.15
 2005    8.08    9.71    0.80   11.76   10.05
 2006    3.54  -16.32   39.69    6.48  -15.69
 2007    0.06    2.84   15.16  -14.79   -2.98
 2008   -4.05  -13.80   19.87  -23.13    0.85
 2009   32.92  -11.43   12.90   39.28   90.92
 2010  -18.16  -12.26  -18.30  -30.94  -11.15
 2011  -12.73   -5.01    5.74  -46.34   -5.33
 2012  -28.62  -13.51  -53.43  -21.37  -26.20
 2013   22.37   14.27   32.89   34.80    7.50
 2014    5.59  -12.45    9.55   18.18    7.09
 2015    2.12   -7.70   -7.03   32.24   -9.01
 2016    2.16    1.75    1.59   12.95   -7.66
 2017   17.33    3.75   74.40    3.55  -12.36
 2018   -5.48   -6.06  -49.30   26.42    7.02
 2019   18.43   -8.79   79.68   39.35  -36.53
 2020    3.71   49.65  -31.49   -8.29    4.96
 2021   -8.09   -8.24   -9.87    7.81  -22.05
 2022  -10.56  -15.56  -40.90   17.68   -3.44
 2023  -27.66   -6.28  -34.27  -69.89   -0.20
 2024   25.10    2.63   13.90   96.73  -12.86
 2025   21.65   -8.09   52.76   28.30   13.62
 2026  -15.35   -2.25  -22.51  -46.69   10.05
 2027    1.58   -0.36   10.07  -15.28   11.89
 2028   18.04   -9.94   30.75   42.09    9.27
 2029  -20.74    1.24  -13.18  -54.07  -16.93
 2030    8.62    2.63   37.33  -26.15   20.65
 2031   13.55   -6.20   26.76   63.17  -29.54
 2032   21.24   -3.48   56.50   32.10   -0.18
 2033   -4.62   -5.87    8.31   -1.40  -19.53
