Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
        146.1    26.3   198.0   278.7    81.2
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   12.54   12.15   72.00   -1.53  -32.47
 1961   25.25    0.24   54.46    5.97   40.34
 1962    2.92   -0.71  -31.40   12.11   31.68
 1963   -8.92   -3.02    7.30   -7.94  -32.02
 1964   -5.31    2.78  -13.19   -3.18   -7.63
 1965   18.11   26.66   10.72   17.42   17.63
 1966   -8.78  -11.76   11.04  -55.29   20.89
 1967  -33.51   11.77  -69.40  -62.31  -14.12
 1968   -9.07    9.16  -18.57    8.93  -35.80
 1969   14.75    6.85   32.80    7.80   11.54
 1970  -16.41   10.37  -70.20   -3.16   -2.67
 1971  -14.14  -11.08   -6.86  -27.03  -11.60
 1972   11.30   16.99   -9.15   48.29  -10.94
 1973    5.79   -4.29   21.41   21.83  -15.78
 1974   -1.01    4.98   50.74  -78.82   19.04
 1975  -10.67   -4.87   -0.56  -11.89  -25.36
 1976   -6.26  -18.49  -29.36   12.37   10.44
 1977   16.67   -3.38  -35.58   70.94   34.68
 1978    3.51    3.95    5.29   31.97  -27.15
 1979  -10.37   -0.68  -25.11    0.54  -16.23
 1980  -10.91   -4.87  -16.51   -8.00  -14.26
 1981    2.28    4.75   48.53  -50.26    6.11
 1982  -29.85   -0.38  -46.68  -55.57  -16.79
 1983   -4.38  -21.05    5.03    7.31   -8.83
 1984   16.05    3.09    1.03   60.05    0.02
 1985    3.65  -12.45   -5.83   12.44   20.46
 1986  -11.98  -13.74   10.53  -50.58    5.86
 1987  -18.54  -14.37  -48.30  -32.78   21.30
 1988    5.31   -7.98   52.60  -13.19  -10.19
 1989   14.01   26.88    9.58   32.62  -13.02
 1990   15.20   27.86   -2.09   53.94  -18.93
 1991    8.10    4.56   34.25    3.35   -9.75
 1992   -0.92   -9.64   10.26  -11.21    6.91
 1993    5.76   22.35  -14.56    1.78   13.48
 1994  -12.43   -2.94  -56.82  -16.86   26.89
 1995  -10.18   16.00   17.13  -84.04   10.19
 1996    1.48   -1.14  -21.46   13.89   14.63
 1997   11.12   -9.24   33.33   27.70   -7.28
 1998   55.44    4.41   87.35   99.45   30.55
 1999  -17.60   -5.61    2.02  -55.05  -11.76
 2000   -5.41   -1.09    3.55  -15.51   -8.59
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   22.38    0.45   13.88   80.52   -5.34
 2002   23.14    2.26   37.09   17.24   35.98
 2003   23.19    0.32   25.66   71.81   -5.03
 2004   37.33   12.08   16.28   89.98   30.99
 2005    8.28    6.72  -11.85   13.22   25.01
 2006   17.69   -1.30   18.15   28.57   25.32
 2007    4.38   -2.54  -22.08   47.65   -5.51
 2008   -0.31   24.54   13.63  -30.77   -8.62
 2009   13.94  -12.90   28.63   33.16    6.86
 2010    0.50    1.45  -76.70   50.22   27.04
 2011    0.57  -20.00  -27.72    6.63   43.35
 2012  -10.23  -14.63   -3.32  -22.40   -0.60
 2013   -7.95    2.95  -16.01  -13.25   -5.50
 2014    2.23   -4.38  -23.13   30.65    5.79
 2015   -1.70   -0.44  -27.52  -18.28   39.45
 2016    9.01  -11.28   27.04  -21.36   41.64
 2017   15.66    3.91   39.86   35.36  -16.48
 2018    9.37   -5.49   29.84    6.51    6.61
 2019   18.16  -11.35  -41.42   99.21   26.19
 2020  -16.95   -5.16  -25.38  -57.46   20.19
 2021    5.46  -20.11   34.65    6.40    0.89
 2022  -10.84  -16.47   -0.53  -22.56   -3.79
 2023   -7.48    4.04  -11.05  -12.69  -10.23
 2024   17.22    1.58   12.40    6.40   48.48
 2025   13.03    2.23   41.13  -51.82   60.59
 2026   -9.18    8.37  -19.29   -8.92  -16.86
 2027    7.70   -0.64  -12.34  -12.79   56.56
 2028    5.50   -5.14   -6.57    3.76   29.95
 2029  -22.95  -18.53  -50.97  -73.83   51.54
 2030  -40.01   -9.50  -53.63  -72.47  -24.44
 2031   21.23    6.44   45.19   40.92   -7.61
 2032  -21.54  -14.90  -82.48  -14.00   25.24
 2033  -15.98  -11.05  -17.50  -40.92    5.54
